total_eth,ym
0.01012,2022-04-04T00:00:00+00:00
1337.2969322785614,2017-08-28T00:00:00+00:00
0.0,2020-02-10T00:00:00+00:00
20.092387190165052,2019-07-29T00:00:00+00:00
0.07403115,2020-03-02T00:00:00+00:00
3.72996386236324,2018-08-13T00:00:00+00:00
16.242199484949186,2017-07-17T00:00:00+00:00
1.484327118,2018-07-23T00:00:00+00:00
0.0003,2020-02-17T00:00:00+00:00
10.40708016,2018-09-17T00:00:00+00:00
0.7524757492277243,2019-05-06T00:00:00+00:00
0.16336,2021-05-31T00:00:00+00:00
0.07093,2022-05-02T00:00:00+00:00
0.04786651052348036,2019-09-02T00:00:00+00:00
1.4235532355,2018-09-24T00:00:00+00:00
9.73764,2019-10-14T00:00:00+00:00
2.64212,2022-09-05T00:00:00+00:00
218.32113251480422,2018-01-22T00:00:00+00:00
26.30665793200736,2019-07-22T00:00:00+00:00
8.55740843,2018-08-06T00:00:00+00:00
112.15942176,2018-06-11T00:00:00+00:00
3.3413977,2018-11-26T00:00:00+00:00
12.639437,2018-10-01T00:00:00+00:00
14.975794483876825,2018-12-24T00:00:00+00:00
1.47065426,2019-07-01T00:00:00+00:00
0.25257,2020-12-07T00:00:00+00:00
151.82683313972058,2018-04-02T00:00:00+00:00
212.44439731617334,2018-01-08T00:00:00+00:00
80.5354750285125,2018-06-25T00:00:00+00:00
0.4376,2021-03-29T00:00:00+00:00
0.0,2019-06-17T00:00:00+00:00
0.01534,2021-07-26T00:00:00+00:00
73.18839223507126,2018-02-12T00:00:00+00:00
84.01937578488413,2018-02-26T00:00:00+00:00
1.72684048,2019-08-26T00:00:00+00:00
0.05143,2021-04-26T00:00:00+00:00
96.23845257735837,2017-12-25T00:00:00+00:00
191.7177745405776,2018-01-29T00:00:00+00:00
19.732667012328864,2019-02-18T00:00:00+00:00
1.7790924277212279,2019-08-12T00:00:00+00:00
0.3001,2017-10-23T00:00:00+00:00
25.719831595,2018-07-02T00:00:00+00:00
0.462,2020-09-07T00:00:00+00:00
371.26053298603813,2018-01-15T00:00:00+00:00
27.77585,2017-05-08T00:00:00+00:00
0.19858581,2020-03-23T00:00:00+00:00
0.07219,2022-02-28T00:00:00+00:00
0.08131,2021-08-30T00:00:00+00:00
0.38658178,2019-03-18T00:00:00+00:00
4.041445329465244,2019-04-22T00:00:00+00:00
0.76287304,2017-11-20T00:00:00+00:00
5.67976,2017-11-27T00:00:00+00:00
140.76583800010124,2017-12-18T00:00:00+00:00
1.33381564,2018-09-10T00:00:00+00:00
2.375699606296734,2019-05-27T00:00:00+00:00
4.909255472979117,2017-12-11T00:00:00+00:00
1.04738398,2018-08-20T00:00:00+00:00
4.843298433,2018-09-03T00:00:00+00:00
1.0,2017-06-12T00:00:00+00:00
0.08253621,2019-12-30T00:00:00+00:00
8.48911003,2019-08-19T00:00:00+00:00
6.84570976,2018-07-30T00:00:00+00:00
14.90482365049523,2018-08-27T00:00:00+00:00
10.42,2017-04-10T00:00:00+00:00
10.53573429761,2018-05-28T00:00:00+00:00
0.06167,2022-01-03T00:00:00+00:00
0.2105263,2019-10-07T00:00:00+00:00
1.85,2017-09-11T00:00:00+00:00
2.05873134,2019-01-14T00:00:00+00:00
0.22914919,2017-07-31T00:00:00+00:00
0.005,2020-11-23T00:00:00+00:00
0.24864,2019-01-28T00:00:00+00:00
63.08511681914475,2018-05-14T00:00:00+00:00
0.052,2019-01-21T00:00:00+00:00
0.36902,2017-07-24T00:00:00+00:00
0.386984,2019-06-10T00:00:00+00:00
0.57920719,2018-07-16T00:00:00+00:00
95.9542256280012,2018-02-05T00:00:00+00:00
0.32594,2022-06-27T00:00:00+00:00
1.810608,2019-10-21T00:00:00+00:00
32.173850712,2019-03-04T00:00:00+00:00
2.6821293,2019-04-08T00:00:00+00:00
28.49243684760494,2019-04-01T00:00:00+00:00
7.2,2017-12-04T00:00:00+00:00
3.74572104,2019-06-24T00:00:00+00:00
139.995998565,2017-11-13T00:00:00+00:00
1.47678696166424,2018-07-09T00:00:00+00:00
102.71574155899144,2018-04-23T00:00:00+00:00
1.15429852,2018-06-18T00:00:00+00:00
4.602204031502042,2019-05-20T00:00:00+00:00
0.02589,2021-11-29T00:00:00+00:00
53.9524013535,2018-01-01T00:00:00+00:00
1.27408405,2018-12-17T00:00:00+00:00
33.72611694,2018-06-04T00:00:00+00:00
0.501625055155,2019-06-03T00:00:00+00:00
0.07745,2021-02-01T00:00:00+00:00
0.01053,2022-01-31T00:00:00+00:00
8.461824,2019-09-23T00:00:00+00:00
79.57101998899503,2018-02-19T00:00:00+00:00
0.175418441,2019-05-13T00:00:00+00:00
4.0,2019-09-30T00:00:00+00:00
1.527,2017-06-05T00:00:00+00:00
13.9964038,2019-02-11T00:00:00+00:00
1.7112,2019-12-23T00:00:00+00:00
0.00386,2020-11-02T00:00:00+00:00
287.9311329213624,2018-04-30T00:00:00+00:00
93.23132338723063,2018-03-19T00:00:00+00:00
15.2861771932216,2018-03-12T00:00:00+00:00
0.635064,2019-03-25T00:00:00+00:00
63.20624297812563,2019-03-11T00:00:00+00:00
0.19877,2020-12-21T00:00:00+00:00
3.0,2019-07-08T00:00:00+00:00
220.64275966820327,2018-04-16T00:00:00+00:00
108.34933059428687,2019-04-15T00:00:00+00:00
21.591387800481904,2018-10-08T00:00:00+00:00
3.064,2017-07-03T00:00:00+00:00
355.1341188298554,2018-05-07T00:00:00+00:00
6.508257104109111,2019-08-05T00:00:00+00:00
39.470385380118415,2018-03-26T00:00:00+00:00
7.293076009994624,2019-02-25T00:00:00+00:00
2.4266318555,2019-04-29T00:00:00+00:00
0.4,2017-03-27T00:00:00+00:00
100.0,2017-05-15T00:00:00+00:00
0.68994,2020-10-19T00:00:00+00:00
0.02477,2021-02-15T00:00:00+00:00
0.01,2018-12-03T00:00:00+00:00
0.04185,2021-01-18T00:00:00+00:00
0.25,2020-09-21T00:00:00+00:00
44.378134093,2018-05-21T00:00:00+00:00
0.01034,2022-08-01T00:00:00+00:00
53.71542236999998,2018-04-09T00:00:00+00:00
11.400345265588895,2018-10-22T00:00:00+00:00
5.58873822,2018-03-05T00:00:00+00:00
0.00910304,2019-10-28T00:00:00+00:00
0.10942679,2021-11-01T00:00:00+00:00
0.06792,2021-03-01T00:00:00+00:00
