addresses,projects,name,protocol
"['0x217dad8cb35cfd5e4f9a9e22e31a7fb25d43a53b', '0x55d398326f99059ff775485246999027b3197955', '0x3d1aff0427aec96e75850309811215257753a37e', '0xaf98e6c2d3b520f4e9b3d7ea22ad7aefffdbc2fd', '0x8cbb802a740e261af8f6d3c6ed194a8c7abb824e', '0x2ad7f18dcfa131e33411770a9c6c4fe49b187bc2', '0xf28bc535f22cfdc693291f07c163dd9662d25529', '0x2859e4544c4bb03966803b044a93563bd2d0dd4d', '0x05e4974f396b365bc9bda3b277a6cff332e7e905', '0x3244b3b6030f374bafa5f8f80ec2f06aaf104b64', '0x627b273789171b80a3d71d69e3c59cd4587da3ca', '0x19f1ca4442b5a88593a50f89f93d683cfa68edec', '0xbf37f781473f3b50e82c668352984865eac9853f', '0xe9e7cea3dedca5984780bafc599bd69add087d56']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x6b175474e89094c44da98b954eedeac495271d0f', '0xd50bd038465acd02c8f76964f41888fc5026d267', '0x4ae2cd1f5b8806a973953b76f9ce6d5fab9cdcfd', '0x1099ac30cdc4159b7a8c4acca27aa14628d5a93f', '0x4cd79f50de4f04d9c5a847dafa8d840552c4eeaa', '0x1afc868f93203d8bd58f05cef6ee36e77cb4cf26', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce', '0x4123a133ae3c521fd134d7b13a2dec35b56c2463', '0x92dbb8d1941ad41394b4db3d51454c56d42e0308', '0xbf3cdfcc9dd541e12ab2115494581eeaeacaa6fa', '0xd189b20827d92107c43d7768a2618cc4701ca5ff', '0x9d4a40c2bfe12f719c610bcda725ba0e7212c4c0', '0x3a7b25e01335982760eff4a06b828ed83cd50d37', '0x70fcec2e3cc58799bf580f8d4dad260b5cb822a5']","[{'id': 'makermcd'}, {'id': 'tether'}, {'id': 'shib'}, {'id': 'qredo'}]",Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x4fe92aac61712ab27ba145dfe8811c8f23d4bada', '0xfdce4cafb167bf90c1ad397a2de8b45c64925f93', '0x515d7e9d75e2b76db60f8a051cd890eba23286bc', '0x3209512d3177a145447184f137a73755673f8340', '0xf02a7828f9f3284690a5415de1cd550b63e9abd6', '0x80736f6ebec67c1ec26f01a4b0046868f1d606b5', '0x10717e8fe9e0f88741d6fe5eac012d6fad98d575', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0xe1bda0c3bfa2be7f740f0119b6a34f057bd58eba']",[{'id': 'tether'}],Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0xe4083c54d034239a24a4834cd458b0645e6e392d', '0xfb62ae373aca027177d1c18ee0862817f9080d08', '0xefecd68f9549d47cbeca0a2fd9bd09cf4ec6a5d6', '0x0e04bae8887fa27f6aa0ddb1f6082d9d5c6d8abd', '0xa941b1dd64d61d35a6640041d54d1e2f48bcd95c', '0xcf9f991b14620f5ad144eec11f9bc7bf08987622', '0xd6e35bfcc3551f9e8514371ef0e719dbe58f24aa', '0xe56842ed550ff2794f010738554db45e60730371', '0x42981d0bfbaf196529376ee702f2a9eb9092fcb5']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0xbf37f781473f3b50e82c668352984865eac9853f', '0x19f1ca4442b5a88593a50f89f93d683cfa68edec', '0x2ad7f18dcfa131e33411770a9c6c4fe49b187bc2', '0x2859e4544c4bb03966803b044a93563bd2d0dd4d', '0x05e4974f396b365bc9bda3b277a6cff332e7e905', '0xaf98e6c2d3b520f4e9b3d7ea22ad7aefffdbc2fd', '0x55d398326f99059ff775485246999027b3197955', '0x3244b3b6030f374bafa5f8f80ec2f06aaf104b64', '0x217dad8cb35cfd5e4f9a9e22e31a7fb25d43a53b', '0x627b273789171b80a3d71d69e3c59cd4587da3ca', '0x3d1aff0427aec96e75850309811215257753a37e', '0xe9e7cea3dedca5984780bafc599bd69add087d56', '0xf28bc535f22cfdc693291f07c163dd9662d25529', '0x8cbb802a740e261af8f6d3c6ed194a8c7abb824e']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0xc35aa63320a9cf92eca455a8fba83717b1e85f99', '0xc22581540b49181fbc813108599764efecef9491', '0x842b4a454e3a344d50c33e65300670a5b113a921', '0x003f13d95ccbd7b8778ca66be31adf71add79ee6', '0xb539e9a46d1dc0442891b737203529e1765da312', '0xfbf88e41fd670da205379805319427a354ed4f7d', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0x6b175474e89094c44da98b954eedeac495271d0f', '0x8331aafbe261c73ba4e0b885ce62e43ac07caaae', '0xc590d6449b0a0a5021f069e862378eecb65b9282', '0x056354f3ff20743aa4c0da365603871c7000b081', '0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0x5599954759a44b33633a29a8d102b8a6364bb0f8', '0x16cda4028e9e872a38acb903176719299beaed87', '0x169949515079a32314861fc86d87196f457d4897', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48']","[{'id': 'makermcd'}, {'id': 'tether'}, {'id': 'coinbase'}, {'id': 'zeroex'}]",Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x3209512d3177a145447184f137a73755673f8340', '0x4fe92aac61712ab27ba145dfe8811c8f23d4bada', '0x10717e8fe9e0f88741d6fe5eac012d6fad98d575', '0xf02a7828f9f3284690a5415de1cd550b63e9abd6', '0xfdce4cafb167bf90c1ad397a2de8b45c64925f93', '0x515d7e9d75e2b76db60f8a051cd890eba23286bc', '0x80736f6ebec67c1ec26f01a4b0046868f1d606b5', '0xe1bda0c3bfa2be7f740f0119b6a34f057bd58eba', '0xdac17f958d2ee523a2206206994597c13d831ec7']",[{'id': 'tether'}],Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0xa941b1dd64d61d35a6640041d54d1e2f48bcd95c', '0x42981d0bfbaf196529376ee702f2a9eb9092fcb5', '0xd6e35bfcc3551f9e8514371ef0e719dbe58f24aa', '0xefecd68f9549d47cbeca0a2fd9bd09cf4ec6a5d6', '0xe56842ed550ff2794f010738554db45e60730371', '0xe4083c54d034239a24a4834cd458b0645e6e392d', '0xcf9f991b14620f5ad144eec11f9bc7bf08987622', '0xfb62ae373aca027177d1c18ee0862817f9080d08', '0x0e04bae8887fa27f6aa0ddb1f6082d9d5c6d8abd']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x4fe92aac61712ab27ba145dfe8811c8f23d4bada', '0x3209512d3177a145447184f137a73755673f8340', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0xfdce4cafb167bf90c1ad397a2de8b45c64925f93', '0xf02a7828f9f3284690a5415de1cd550b63e9abd6', '0x80736f6ebec67c1ec26f01a4b0046868f1d606b5', '0xe1bda0c3bfa2be7f740f0119b6a34f057bd58eba', '0x515d7e9d75e2b76db60f8a051cd890eba23286bc', '0x10717e8fe9e0f88741d6fe5eac012d6fad98d575']",[{'id': 'tether'}],Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x1099ac30cdc4159b7a8c4acca27aa14628d5a93f', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0xd50bd038465acd02c8f76964f41888fc5026d267', '0x1afc868f93203d8bd58f05cef6ee36e77cb4cf26', '0x4123a133ae3c521fd134d7b13a2dec35b56c2463', '0x3a7b25e01335982760eff4a06b828ed83cd50d37', '0xd189b20827d92107c43d7768a2618cc4701ca5ff', '0x92dbb8d1941ad41394b4db3d51454c56d42e0308', '0x4cd79f50de4f04d9c5a847dafa8d840552c4eeaa', '0x70fcec2e3cc58799bf580f8d4dad260b5cb822a5', '0x9d4a40c2bfe12f719c610bcda725ba0e7212c4c0', '0x4ae2cd1f5b8806a973953b76f9ce6d5fab9cdcfd', '0xbf3cdfcc9dd541e12ab2115494581eeaeacaa6fa', '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce', '0x6b175474e89094c44da98b954eedeac495271d0f']","[{'id': 'tether'}, {'id': 'makermcd'}, {'id': 'shib'}, {'id': 'qredo'}]",Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x169949515079a32314861fc86d87196f457d4897', '0x842b4a454e3a344d50c33e65300670a5b113a921', '0x8331aafbe261c73ba4e0b885ce62e43ac07caaae', '0x5599954759a44b33633a29a8d102b8a6364bb0f8', '0x16cda4028e9e872a38acb903176719299beaed87', '0xc35aa63320a9cf92eca455a8fba83717b1e85f99', '0x003f13d95ccbd7b8778ca66be31adf71add79ee6', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', '0x6b175474e89094c44da98b954eedeac495271d0f', '0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xc590d6449b0a0a5021f069e862378eecb65b9282', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0x056354f3ff20743aa4c0da365603871c7000b081', '0xb539e9a46d1dc0442891b737203529e1765da312', '0xc22581540b49181fbc813108599764efecef9491', '0xfbf88e41fd670da205379805319427a354ed4f7d']","[{'id': 'tether'}, {'id': 'coinbase'}, {'id': 'makermcd'}, {'id': 'zeroex'}]",Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x1afc868f93203d8bd58f05cef6ee36e77cb4cf26', '0x4123a133ae3c521fd134d7b13a2dec35b56c2463', '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce', '0x1099ac30cdc4159b7a8c4acca27aa14628d5a93f', '0x9d4a40c2bfe12f719c610bcda725ba0e7212c4c0', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0x6b175474e89094c44da98b954eedeac495271d0f', '0xd189b20827d92107c43d7768a2618cc4701ca5ff', '0x92dbb8d1941ad41394b4db3d51454c56d42e0308', '0x3a7b25e01335982760eff4a06b828ed83cd50d37', '0x4cd79f50de4f04d9c5a847dafa8d840552c4eeaa', '0xbf3cdfcc9dd541e12ab2115494581eeaeacaa6fa', '0x70fcec2e3cc58799bf580f8d4dad260b5cb822a5', '0x4ae2cd1f5b8806a973953b76f9ce6d5fab9cdcfd', '0xd50bd038465acd02c8f76964f41888fc5026d267']","[{'id': 'makermcd'}, {'id': 'tether'}, {'id': 'qredo'}, {'id': 'shib'}]",Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x842b4a454e3a344d50c33e65300670a5b113a921', '0x8331aafbe261c73ba4e0b885ce62e43ac07caaae', '0xc35aa63320a9cf92eca455a8fba83717b1e85f99', '0xc22581540b49181fbc813108599764efecef9491', '0x6b175474e89094c44da98b954eedeac495271d0f', '0xc590d6449b0a0a5021f069e862378eecb65b9282', '0xfbf88e41fd670da205379805319427a354ed4f7d', '0x003f13d95ccbd7b8778ca66be31adf71add79ee6', '0xb539e9a46d1dc0442891b737203529e1765da312', '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0x169949515079a32314861fc86d87196f457d4897', '0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf', '0x5599954759a44b33633a29a8d102b8a6364bb0f8', '0x056354f3ff20743aa4c0da365603871c7000b081', '0x16cda4028e9e872a38acb903176719299beaed87', '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48']","[{'id': 'makermcd'}, {'id': 'tether'}, {'id': 'coinbase'}, {'id': 'zeroex'}]",Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x05e4974f396b365bc9bda3b277a6cff332e7e905', '0xf28bc535f22cfdc693291f07c163dd9662d25529', '0x627b273789171b80a3d71d69e3c59cd4587da3ca', '0x19f1ca4442b5a88593a50f89f93d683cfa68edec', '0x2ad7f18dcfa131e33411770a9c6c4fe49b187bc2', '0x55d398326f99059ff775485246999027b3197955', '0x3244b3b6030f374bafa5f8f80ec2f06aaf104b64', '0xe9e7cea3dedca5984780bafc599bd69add087d56', '0x8cbb802a740e261af8f6d3c6ed194a8c7abb824e', '0xaf98e6c2d3b520f4e9b3d7ea22ad7aefffdbc2fd', '0x3d1aff0427aec96e75850309811215257753a37e', '0x217dad8cb35cfd5e4f9a9e22e31a7fb25d43a53b', '0x2859e4544c4bb03966803b044a93563bd2d0dd4d', '0xbf37f781473f3b50e82c668352984865eac9853f']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x3a7b25e01335982760eff4a06b828ed83cd50d37', '0x4123a133ae3c521fd134d7b13a2dec35b56c2463', '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce', '0xd189b20827d92107c43d7768a2618cc4701ca5ff', '0x92dbb8d1941ad41394b4db3d51454c56d42e0308', '0x70fcec2e3cc58799bf580f8d4dad260b5cb822a5', '0x1099ac30cdc4159b7a8c4acca27aa14628d5a93f', '0xdac17f958d2ee523a2206206994597c13d831ec7', '0xd50bd038465acd02c8f76964f41888fc5026d267', '0x4cd79f50de4f04d9c5a847dafa8d840552c4eeaa', '0x1afc868f93203d8bd58f05cef6ee36e77cb4cf26', '0x9d4a40c2bfe12f719c610bcda725ba0e7212c4c0', '0x4ae2cd1f5b8806a973953b76f9ce6d5fab9cdcfd', '0x6b175474e89094c44da98b954eedeac495271d0f', '0xbf3cdfcc9dd541e12ab2115494581eeaeacaa6fa']","[{'id': 'makermcd'}, {'id': 'tether'}, {'id': 'shib'}, {'id': 'qredo'}]",Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x19f1ca4442b5a88593a50f89f93d683cfa68edec', '0x2ad7f18dcfa131e33411770a9c6c4fe49b187bc2', '0x3d1aff0427aec96e75850309811215257753a37e', '0xaf98e6c2d3b520f4e9b3d7ea22ad7aefffdbc2fd', '0xbf37f781473f3b50e82c668352984865eac9853f', '0xf28bc535f22cfdc693291f07c163dd9662d25529', '0x627b273789171b80a3d71d69e3c59cd4587da3ca', '0x55d398326f99059ff775485246999027b3197955', '0xe9e7cea3dedca5984780bafc599bd69add087d56', '0x05e4974f396b365bc9bda3b277a6cff332e7e905', '0x8cbb802a740e261af8f6d3c6ed194a8c7abb824e', '0x2859e4544c4bb03966803b044a93563bd2d0dd4d', '0x3244b3b6030f374bafa5f8f80ec2f06aaf104b64', '0x217dad8cb35cfd5e4f9a9e22e31a7fb25d43a53b']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x8cbb802a740e261af8f6d3c6ed194a8c7abb824e', '0x627b273789171b80a3d71d69e3c59cd4587da3ca', '0xf28bc535f22cfdc693291f07c163dd9662d25529', '0x19f1ca4442b5a88593a50f89f93d683cfa68edec', '0x05e4974f396b365bc9bda3b277a6cff332e7e905', '0x3d1aff0427aec96e75850309811215257753a37e', '0xbf37f781473f3b50e82c668352984865eac9853f', '0xe9e7cea3dedca5984780bafc599bd69add087d56', '0x2ad7f18dcfa131e33411770a9c6c4fe49b187bc2', '0x55d398326f99059ff775485246999027b3197955', '0xaf98e6c2d3b520f4e9b3d7ea22ad7aefffdbc2fd', '0x217dad8cb35cfd5e4f9a9e22e31a7fb25d43a53b', '0x2859e4544c4bb03966803b044a93563bd2d0dd4d', '0x3244b3b6030f374bafa5f8f80ec2f06aaf104b64']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
"['0x42981d0bfbaf196529376ee702f2a9eb9092fcb5', '0xefecd68f9549d47cbeca0a2fd9bd09cf4ec6a5d6', '0x0e04bae8887fa27f6aa0ddb1f6082d9d5c6d8abd', '0xa941b1dd64d61d35a6640041d54d1e2f48bcd95c', '0xfb62ae373aca027177d1c18ee0862817f9080d08', '0xe56842ed550ff2794f010738554db45e60730371', '0xcf9f991b14620f5ad144eec11f9bc7bf08987622', '0xd6e35bfcc3551f9e8514371ef0e719dbe58f24aa', '0xe4083c54d034239a24a4834cd458b0645e6e392d']",,Attack detector identified an EOA with past alerts mapping to attack behavior,ethereum
